average_precision,roc_auc,log_loss,brier_score,threshold,precision,recall,f1,f2,mcc,balanced_accuracy,accuracy,predicted_positive_rate,tn,fp,fn,tp,status,run_id,model,feature_set_id,raw_group,feature_count,fold,train_rows,validation_rows,train_positive_rate,validation_positive_rate,fit_seconds,predict_seconds,convergence_warnings
0.6536583552718183,0.8022804793410869,0.4938475297561261,0.1637875114191603,0.5,0.6686100746268657,0.4476889444097439,0.5362888140665918,0.4793673087212413,0.39172798543805104,0.6721642278056866,0.7539698292973402,0.2127828503374355,12327,1421,3537,2867,completed,lightgbm__common_baseline,lightgbm,common_baseline,,197,3,162557,20152,0.23318589786967034,0.3177848352520842,10.664722799992887,0.06727140001021326,0
0.6620998997552534,0.8118671709639212,0.48142559959878334,0.158819566017392,0.5,0.6817462112644198,0.47978350843680356,0.5632065775950668,0.510000338420928,0.4225042673566718,0.6888135577470448,0.7668910496135627,0.22044377960608327,12366,1407,3268,3014,completed,lightgbm__common_baseline,lightgbm,common_baseline,,197,4,182766,20055,0.2390105380650668,0.31323859386686614,14.093550799996592,0.11055990000022575,0
0.6003783701368135,0.8015400589581245,0.47156262537675564,0.1549464686253744,0.5,0.6458333333333334,0.40458553791887125,0.4975059639991325,0.4372522110399512,0.3759166348804981,0.6591958179488155,0.7713298791018999,0.17527757216876388,13337,1258,3376,2294,completed,xgboost__common_baseline,xgboost,common_baseline,,197,1,122011,20265,0.2187671603380023,0.27979274611398963,10.78525320001063,0.044044499984011054,0
0.6182819092884397,0.8086000034735189,0.4685270165626118,0.15427890845722256,0.5,0.6563349646547036,0.4178639432231262,0.5106292966684294,0.45060852684238034,0.38676070154326303,0.665140397332184,0.7710426047800485,0.18199811964966103,13168,1264,3363,2414,completed,xgboost__common_baseline,xgboost,common_baseline,,197,2,142292,20209,0.22654822477721867,0.28586273442525606,12.01018589999876,0.044571799982804805,0
0.6498823308126382,0.8027322570523913,0.49392716819595134,0.16375338791401411,0.5,0.6648520710059171,0.438632104934416,0.5285539561576819,0.4706611708722898,0.3839129082436694,0.6678176526999692,0.7513398173878523,0.20965660976578007,12332,1416,3595,2809,completed,xgboost__common_baseline,xgboost,common_baseline,,197,3,162557,20152,0.23318589786967034,0.3177848352520842,13.92919759999495,0.04752999998163432,0
0.6618592306063481,0.8114499244157434,0.4818154342818862,0.15888480626522475,0.5,0.6850828729281768,0.47373447946513847,0.5601355166572558,0.504885993485342,0.42156400775767844,0.6872048568094589,0.7669409124906507,0.21660433807030666,12405,1368,3306,2976,completed,xgboost__common_baseline,xgboost,common_baseline,,197,4,182766,20055,0.2390105380650668,0.31323859386686614,15.159607700014021,0.043834099982632324,0
0.5634277567348204,0.7826157516919193,0.4889720103566252,0.16130880924892502,0.5,0.6362976406533575,0.3091710758377425,0.41614243323442135,0.344603892274425,0.31501864148568964,0.6202587136639894,0.7572662225511967,0.13594867999013077,13593,1002,3917,1753,completed,catboost__common_baseline,catboost,common_baseline,,197,1,122011,20265,0.2187671603380023,0.27979274611398963,48.79359640000621,0.0,0
0.5826511032166166,0.7879852563514542,0.48896965884964183,0.1617071454733189,0.5,0.6201975850713501,0.3912065085684611,0.4797792166436684,0.4223983253588517,0.3470607439044101,0.6476542520669356,0.757484289178089,0.1803157009253303,13048,1384,3517,2260,completed,catboost__common_baseline,catboost,common_baseline,,197,2,142292,20209,0.22654822477721867,0.28586273442525606,51.11906040000031,0.0,0
0.605194903388278,0.7758054570017975,0.5216709667360332,0.17445871089451975,0.5,0.62436177972283,0.400999375390381,0.48835219168964533,0.4319015103097985,0.3334286650666447,0.6443096964237328,0.7329793568876538,0.20409884874950376,12203,1545,3836,2568,completed,catboost__common_baseline,catboost,common_baseline,,197,3,162557,20152,0.23318589786967034,0.3177848352520842,65.27327459998196,0.0,0
0.6025645335491443,0.780823974613805,0.5148640157729849,0.17208869923488407,0.5,0.6310728744939271,0.3970073225087552,0.48739495798319327,0.42881705639614853,0.3394808141964686,0.645574016296852,0.7384193467963102,0.19705809025180754,12315,1458,3788,2494,completed,catboost__common_baseline,catboost,common_baseline,,197,4,182766,20055,0.2390105380650668,0.31323859386686614,65.40455730000394,0.0,0
